Ergebnisse der Landtagswahl vom 23. April 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code;Region;Wahlberechtigte;abgegebene Stimmen;;;;;Parteistimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;gesamt;;ungültig;;gültig;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;WIRS;;MFG;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Staat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50316;Hallwang;3.198;2.424;75,8%;41;1,7%;2.383;739;31,0%;366;15,4%;552;23,2%;249;10,4%;118;5,0%;281;11,8%;63;2,6%;15;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50317;Henndorf am Wallersee;3.803;2.830;74,4%;45;1,6%;2.785;798;28,7%;489;17,6%;784;28,2%;249;8,9%;133;4,8%;281;10,1%;29;1,0%;22;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50318;Hintersee;363;304;83,7%;14;4,6%;290;112;38,6%;31;10,7%;96;33,1%;12;4,1%;9;3,1%;28;9,7%;0;0,0%;2;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50319;Hof bei Salzburg;2.639;1.869;70,8%;31;1,7%;1.838;573;31,2%;246;13,4%;480;26,1%;178;9,7%;102;5,5%;215;11,7%;21;1,1%;23;1,3%;;;;;;;;;;;;;;;;;;;;;;;;;
50320;Köstendorf;2.066;1.511;73,1%;36;2,4%;1.475;498;33,8%;267;18,1%;380;25,8%;119;8,1%;61;4,1%;119;8,1%;11;0,7%;20;1,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50321;Koppl;2.726;2.083;76,4%;59;2,8%;2.024;592;29,2%;246;12,2%;482;23,8%;223;11,0%;147;7,3%;296;14,6%;21;1,0%;17;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50322;Lamprechtshausen;2.934;2.127;72,5%;43;2,0%;2.084;609;29,2%;336;16,1%;615;29,5%;147;7,1%;105;5,0%;231;11,1%;23;1,1%;18;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50323;Mattsee;2.559;1.845;72,1%;37;2,0%;1.808;655;36,2%;270;14,9%;334;18,5%;201;11,1%;92;5,1%;210;11,6%;25;1,4%;21;1,2%;;;;;;;;;;;;;;;;;;;;;;;;;
50324;Neumarkt am Wallersee;4.532;3.144;69,4%;47;1,5%;3.097;651;21,0%;862;27,8%;847;27,3%;258;8,3%;132;4,3%;259;8,4%;65;2,1%;23;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50325;Nußdorf am Haunsberg;1.936;1.468;75,8%;41;2,8%;1.427;492;34,5%;217;15,2%;364;25,5%;111;7,8%;48;3,4%;156;10,9%;25;1,8%;14;1,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50326;Oberndorf bei Salzburg;3.923;2.682;68,4%;49;1,8%;2.633;584;22,2%;609;23,1%;691;26,2%;255;9,7%;98;3,7%;348;13,2%;25;0,9%;23;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50327;Obertrum am See;3.739;2.758;73,8%;54;2,0%;2.704;1.060;39,2%;337;12,5%;618;22,9%;260;9,6%;104;3,8%;261;9,7%;35;1,3%;29;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50328;Plainfeld;995;785;78,9%;14;1,8%;771;293;38,0%;81;10,5%;195;25,3%;50;6,5%;47;6,1%;77;10,0%;22;2,9%;6;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50329;St. Georgen bei Salzburg;2.371;1.749;73,8%;39;2,2%;1.710;520;30,4%;241;14,1%;560;32,7%;123;7,2%;66;3,9%;169;9,9%;20;1,2%;11;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50330;St. Gilgen;2.822;1.952;69,2%;35;1,8%;1.917;799;41,7%;242;12,6%;477;24,9%;136;7,1%;83;4,3%;155;8,1%;15;0,8%;10;0,5%;;;;;;;;;;;;;;;;;;;;;;;;;
50331;Schleedorf;857;667;77,8%;16;2,4%;651;240;36,9%;84;12,9%;212;32,6%;40;6,1%;16;2,5%;45;6,9%;10;1,5%;4;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50332;Seeham;1.499;1.179;78,7%;46;3,9%;1.133;402;35,5%;130;11,5%;268;23,7%;121;10,7%;73;6,4%;104;9,2%;28;2,5%;7;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50335;Straßwalchen;5.601;3.901;69,6%;102;2,6%;3.799;1.081;28,5%;698;18,4%;1.278;33,6%;210;5,5%;134;3,5%;311;8,2%;52;1,4%;35;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50336;Strobl;2.817;1.928;68,4%;45;2,3%;1.883;671;35,6%;352;18,7%;428;22,7%;175;9,3%;99;5,3%;128;6,8%;15;0,8%;15;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50337;Thalgau;4.558;3.241;71,1%;65;2,0%;3.176;981;30,9%;378;11,9%;992;31,2%;305;9,6%;142;4,5%;297;9,4%;51;1,6%;30;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
