F_CODE;GLOBALID;GLOBALID_ALT
2217;{6E25F3F4-4E46-4A95-801A-E8982A8D17BC};{E542D26A-3352-4657-8EA3-83AA99636E83}
2217;{F343B0A0-EDDF-4194-AB66-1C3BCB9B2D8A};{B2F8F142-2387-4458-ACF0-90DA5804EF26}
2217;{399FB1FA-7A86-4C09-87AF-F495427D0E8F};{78EC68DC-AA19-4552-962A-83889CE7A3CC}
2215;{6E5D1E61-2151-4E60-8C3A-82794CE52DF8};{3DFEDE00-55F3-494C-8E4D-ACFCC1596F61}
2202;{75397054-4999-46FE-96D4-63150E575A82};{440BE31B-ED5E-4052-9003-78D8A37C23D7}
2202;{C7129CD5-EEA1-4960-8FA4-69B94BD02908};{2738A5E0-368E-472D-9BE3-BF4100E205E7}
2215;{FA8A3B63-4B32-47E5-A95F-1C50FB20A6D0};{AC2F6C15-1563-4E44-9FEF-6B2ED4B4B8B2}
2202;{80CCC5C3-DE8B-4FAA-B015-425A5B3562ED};{F413333D-953A-482B-81F3-2752EA5620EA}
2215;{53D05DA5-8E5C-4BC1-9B8E-F3824CE23BC9};{57D37009-C81D-4807-8278-6FFCC48ABDD5}
2202;{BEBF16DF-9DEF-47F8-A1C6-64AB44041AA8};{D8BB276D-EAF4-440D-959F-EB4B8E74F2A3}
2202;{8014635B-3628-43D7-A4E1-BE07E343198A};{C1BB32EE-FD88-40EA-A390-DB6C3B6B0FCC}
2217;{F6C4ED42-A058-4DB3-853D-F83C1A62B2D1};{603B4FDC-EED8-427C-932E-BB119A20F0ED}
2215;{D3B0022A-93FB-4EF6-9111-E1A68D6ABD6F};{1AC9D310-A0E6-4424-91A9-E2611DA097B8}
2202;{4164BB64-8E6B-4C28-A336-FF3AC9524DF0};{2F5A8FF0-60F2-41CE-BA19-189216443EE8}
2202;{3E58D2DF-4907-4839-BB17-19AD4B5E55A3};{08A95220-50E6-41B4-9F6B-C1EC48AF1D83}
2217;{7BA8C695-C58E-4EFD-83D9-72B86BE15E35};{F3316BA9-0E63-466E-A715-AADD3C6B30F7}
2202;{8C4DB941-D544-4E88-8B57-EDE574FC5342};{58FF49AD-B818-4A15-A9BC-8F815F5E5C31}
2215;{9499F8A2-A62E-4F55-9459-EB2ED6C67313};{25BFDA3A-1530-4876-9358-AF07A486225E}
2217;{6553C9E5-F13B-4C57-9391-A1CA90505BEA};{852B7C95-957E-47FB-B0B0-D8341653E7D7}
2202;{0451FCBF-C9CA-4D35-8815-2D6BB43A4461};{9209E7C2-AE4F-4CF1-9B23-F46C26B4A058}
2202;{264F8F07-4BA0-4CAC-96BB-DA86E07B4824};{AF20244D-8EE3-409C-A881-C34C7D731CE4}
2215;{5D638353-851A-4123-B10F-CCB22799E181};{DC12D843-A91B-4FA9-BD46-1326C4A70146}
2215;{05DB84FB-82FE-4219-B51D-46EC731922D4};{2FEC8350-7581-4C70-BE6D-6630AEE0195A}
2202;{837FE5D3-EF8F-40BF-B61E-205DFC89774A};{8D058AC2-9450-48FB-B346-DF62C7E3DF1C}
2202;{FB7F4B80-4B87-478C-AC8D-3431DC372655};{376F6BC0-AED0-4103-96CA-4149CB5AFA87}
2202;{BA777ECC-80D7-49B9-9280-1E1BEE9FB072};{A012F645-58CF-42EE-A541-6D3F03AEA104}
2202;{809DFAFF-F905-44A8-BDFD-5BB89663DB95};{3887A326-BC54-4B31-8916-806C167C031D}
2202;{D1B2E0D2-C8C2-4BB2-98DF-6DED02F597F3};{32943116-33DF-4515-9E44-C95109ED185A}
2202;{979911BE-A88A-4D49-932B-79AA174C6C04};{AC3236B6-55FB-4099-99BA-DF86BA9C2B3D}
2215;{FD640183-DEDD-442A-9722-27EFEF189A70};{C08BF00D-2AB4-4C91-A285-3DF0E7BC49C7}
2202;{8AA27D8A-6EEB-4FBF-A2C0-2CFDA68E733B};{EA5B998C-1D72-4879-A474-D2D53D672EAB}
2215;{97032AA1-9B0F-4A30-9300-5D1B28A21E60};{94F46E30-6099-4D1E-9937-FC7FA769BE62}
2215;{5BDF3141-19BA-47B0-BA93-3772E317C4F1};{3E60E899-E816-4960-97C9-950806AC1143}
2202;{8DD4ED20-9909-4094-807A-55F86444EFDB};{4E2A20AC-1E32-4A23-B4CC-96F53856D843}
2202;{2D250DEB-E196-4274-AC80-B540F36F059F};{9FD4ADC6-B372-499A-A1E5-9E2F181BFF56}
2202;{47500D47-1D99-4594-9387-6100ADADEC7A};{52B17B44-4987-444F-94B2-39C8D4AE8F90}
2202;{D93DE6C6-C2BD-48B5-8FD3-2E0EC6949CDE};{EB9BB842-61F7-4985-B8CB-618D957FE1CE}
2202;{6C6A0C4B-BB98-40E5-90E8-A0903AA50671};{7D1951BE-0BEA-4B40-B0DA-6D3EB11E0004}
2202;{CEEEC143-2B17-42AC-9FF2-3F9A3B0DF1C8};{AC4FA3DF-8F7C-4BD4-9CAE-DC9EFA4991F2}
2202;{64DAFBE4-4C15-4DCD-8133-26D12900CE2F};{28F7BB55-BEE4-4590-B9BB-0EE16BD93699}
2202;{0767F02C-685B-4511-9429-F876C943196F};{31C09EFD-7BDC-4491-A704-428446BD416A}
2202;{5241D577-AF93-4842-98B7-3A9426762FC6};{9D16A2FE-348F-4ECD-8156-A5AB7B473DDE}
2202;{75B7D983-124A-42AA-A450-7575DBB646F1};{3D4FA911-F459-458F-A462-234B365BDECB}
2202;{31AD6273-8B39-4B9F-BBAB-7CC8F6DC76A1};{5625B37F-692D-4CDC-A527-8E4ADB1F63DA}
2215;{CD82D079-5DF2-46B4-BF44-69AFD66E9BDC};{712A3F8B-42DF-48B2-B0FA-B3C313EC6B43}
2217;{8956CFB7-F35A-4D4F-B782-68417C26B994};{13610DD4-8AEC-471E-AB2C-6B6A46A9805A}
2202;{BF1BEFE6-F807-46CF-A502-160E1876A1B9};{FF7B05BD-6E4C-4BF8-B557-8D1607A0C2CF}
2217;{23CF7996-C87F-4509-8A48-EDAB45BEA1FD};{1543E44A-F1A7-4A7E-B4D4-03228D1B9F93}
2217;{FE2B066B-0372-4289-B2D8-E55B9744009C};{24F01CF3-A4E5-4473-AAAD-F59CE7B56F2B}
2215;{76717545-817B-4F0A-926E-397909B56D56};{01453160-F4D7-4801-8B94-4D4ED4A3AB39}
2215;{040E15D9-2A47-4ECC-A7F6-CE80F0BDCF47};{D7A1BBA3-8C65-4645-8C05-67EE8EF64DF5}
2217;{2642AB74-3224-4FA6-8E44-906824DAF89E};{A1B50ECE-1721-4EA9-BF0C-31891A278D2A}
2202;{D55289A1-6749-4D9F-912A-7174275CDB25};{040E1C43-2F13-4A3E-BC51-FE6A540F22A8}
2202;{1560B4D5-33BC-442E-9C8E-57403F2F820D};{8FB2458C-FBBB-435B-A3EF-BC153841624E}
2202;{721EC05F-198A-48B2-A6E2-1088DC20304C};{CCB4F5AB-7259-4D6D-9416-0A04B9257C4B}
2215;{16352F2D-3001-46CC-B498-A791B9F7F312};{BC8BC90E-E5C3-4B4D-A5E3-AE2D0D4457C5}
2202;{F67B371D-CD51-4252-887D-C2B808510B9F};{7521380F-FFF1-4CED-9377-690A0DF996E7}
2202;{AF1A2F37-FC90-43F7-80B1-C1D9D40B9543};{895096E8-B0CB-4EA5-A33F-7629E982030A}
2202;{0CA1EE8E-6200-4146-B1E3-56A7291CE012};{A45FF350-6757-456B-A8F2-E8E73ECE84CF}
2215;{D5E8E381-C14B-4377-A6F4-633872C04E64};{BF0AA6E7-0306-4AA6-83B2-EA1C9DBEB7DD}
2217;{00553DA2-25DC-4E13-B33C-DA86781D1D40};{BC6333B0-457B-4C79-8798-08050653DF4E}
2202;{41D3FD4E-4359-4839-8C9C-8724D69A4D88};{C3161212-BAC4-42AA-9FE6-086002DEDC1E}
2202;{98D4221F-F1D8-4B4F-8687-B6BAD5494C48};{580AF54C-FF04-4D7B-9A26-0E5E642FFC41}
2215;{14BD9ABC-EC6B-4A14-ADB5-E45CC501EBA9};{7DA28809-AB7A-4835-9969-BB8E0039D8FF}
2202;{03D21E9C-0083-4EF2-9E62-4870914D24BE};{0F8132CD-6274-4275-8FD3-0FC91598973F}
2217;{DA8CEE5B-EF4C-40FA-A496-B304ACAB55A4};{D96CE03C-645F-418E-90F7-9C85A08B0C29}
2202;{BE2826AE-D032-431B-86E3-D4AA56442B47};{07C47EF2-C2EF-4AE5-8322-EAE6EEC21B11}
2202;{2613601B-F238-485C-AE29-A05564631E8D};{8AFA2552-A51B-459F-8EC4-C2C930C995D7}
2217;{EEC923F3-2457-41AC-9C14-9A28BD2C7A0D};{C1257E29-C6A4-4CB7-9930-5FF5B14F0D34}
2217;{E7F94C17-A291-48B3-BCC9-92CACCF8D8E5};{7EACCF9D-2256-44B4-856A-6C5B09EEA697}
2215;{55B28D98-5E84-4FD2-A775-3F2D8AB5DEAA};{4B306868-EE29-4DC0-ABA6-CE034606BDE4}
2215;{CC385740-C553-45B9-8647-8B24291ECB8E};{8678EB69-CE9B-4A5E-980A-91581FE6D3F0}
2215;{F23A2B51-E714-45AF-912D-ED3BBAE760C9};{4B66BEC2-1A92-422A-BE39-D6D1F5CF36D2}
2202;{56FF9356-0ECE-4C8B-89E6-FFC5C2C23B0E};{15FC9421-780E-4E1E-920D-0A0BF6B3DEA7}
2217;{9BB15903-0C88-492A-B8AB-E64B31097CFF};{B272AAB8-0575-4B16-8D37-E92D837BBFEB}
2202;{C24D3084-ED94-40CA-B3F8-568B918F9619};{2F7968E8-50BE-4B98-9137-10C37ADC0ACE}
2217;{FA01942F-9DCB-4BA1-AEC4-8B719D80AAA0};{C96A2006-7D37-47D7-9C84-E86A4FE9A098}
2202;{25209CEB-9851-4CAA-A212-FEA9AC81E783};{3EFBF372-0E5C-4484-832C-536CA3373BFA}
2202;{468712A5-67D8-4F85-B9FC-BD3FA95B1F3B};{D3E2FC8B-397C-4439-8388-EC794D73863A}
2217;{6C197060-3450-4FF5-9B8C-BB2EF7B7C61F};{596413D1-EC1B-4897-83B3-DEB9009DB76B}
2202;{BA8246A9-2F4D-470A-A85E-7925DC458C57};{60F21587-8008-4C5B-91AB-D513B91BF05C}
2202;{3FF731DA-73DC-4200-A2D2-8CCA59196498};{9B32BCCC-6753-40E9-9CFF-32739D9913EE}
2215;{B3265057-E94E-4659-8EA3-C9C7E92311FC};{433F78AB-BE9F-466B-BAC1-E61BF1A942EC}
2202;{12C6708F-A566-4667-BAB4-06CBCED8C1A2};{1F1D22FB-9E1B-4C0C-937F-4116DB27E0BD}
2215;{070185A3-FCEE-42F6-918C-D35FDADB313D};{22517C56-B454-40B4-9112-6E78B0D94F4D}
2202;{C6DD8E71-EADD-4ACB-B45C-B232E354F4AC};{A54B6D0A-CE14-4E10-973C-F118C828E87E}
2202;{D1C86261-38CC-4638-9AC9-7ABAC7A3B976};{E5C2A5E8-EFA8-4B69-A9C3-5ACBA01A7CFA}
2202;{FBD1C828-99E8-42D6-9DB5-3C4062CA740D};{11AD103E-C7E9-4430-B8A9-0B64C61F96BA}
2217;{988C9A52-6471-4D06-952E-BFC35D8A1C66};{3028B18E-1CC7-4E4E-87B0-94E2089A9845}
2215;{1D5AB3AF-846B-4634-83FC-1B2D5E1FFA60};{ED391900-04C1-4966-9EF0-6707444AC81C}
2215;{606B37BC-C0BE-4E06-956F-EF09A43EA322};{CB44B04B-6F06-466E-9832-6CAFC0ABA05C}
2217;{472096A4-F693-47E0-992C-A40E8B086C1C};{DA41B94B-6DB2-43F8-911C-71DC87A1F1AD}
2217;{79BAA588-5C4A-4539-A832-525CC3859059};{1D21569A-7E2A-456C-A539-9576F999946E}
2217;{034CC7BA-EE7B-4855-A4B5-FD11FA3E2A75};{69319C5A-273C-485A-9FEE-3C5014FC4E7A}
2217;{B625F556-2663-4858-A036-7ED2319CD541};{FD38D0DF-37BB-4B24-8F4F-4548A9F13B08}
2217;{9E3B9009-8513-4B2E-B23C-CC3ADAC51A00};{8F42F734-0A71-4BEF-B9BB-751EC442F153}
2215;{ED8633E6-C358-4FB4-B85D-7791D6A86B4A};{806BCD9E-4F93-4E59-A4BE-CCD544C72CBE}
2215;{1B378FB6-9866-4373-8458-27A2AF066580};{7466EEDE-C80A-45B1-A129-BE0D094CA1F3}
2215;{F572D711-07BE-485E-B21C-FB44E13E792F};{627B0E84-BEE6-4ABD-BA94-C673A0077304}
2217;{FE9D1D31-9428-4316-A06E-FD571497F416};{96954BF3-2BCA-48CA-8C2E-9FCAD1EB9949}
2202;{AB8049D2-4B32-41DD-B4CF-D6F419794FF2};{DC5EDED3-9756-4273-A7D6-4EB71FFDF0E0}
2215;{4897F387-3252-436F-B8A7-425C06A3AE12};{A5DF5310-D9E1-4975-A8D8-A73D508F3922}
2202;{670B4612-735D-4FD5-8DF6-22A410C7DAB4};{1AB607EE-0472-4800-8BB4-06F369322C74}
2217;{E9EB6709-A786-48CE-82F7-EFDF2176ADB8};{567811F1-B0B5-4A37-A897-326F26978178}
